Location	Zip Code	Year 1	Year 2	Year 3	Year 4	Year 5
Location-3450	97959	16.5	42.0	11.0	27.8	21.8
Location-3451	37942	30.1	16.4	36.2	4.1	13.1
Location-3452	78774	44.0	28.5	2.2	24.9	29.0
Location-3453	55776	44.9	37.0	37.9	44.3	24.0
Location-3454	70098	25.1	9.0	12.1	45.0	1.6
Location-3455	35485	12.5	35.2	38.4	16.0	8.2
Location-3456	80044	33.9	44.5	15.3	26.8	21.4
Location-3457	92286	28.9	4.8	38.6	3.5	33.6
Location-3458	11793	6.2	42.9	29.5	37.2	39.4
Location-3459	17803	40.6	2.9	30.2	19.0	17.1
Location-346	27435	22.0	18.8	10.9	8.0	49.5
Location-3460	25691	23.7	32.7	18.9	36.7	48.6
Location-3461	62595	16.8	16.9	45.0	49.3	10.3
Location-3462	28516	24.6	34.8	5.9	6.1	40.9
Location-3463	92476	14.3	8.8	2.9	13.6	21.5
Location-3464	75244	16.6	8.7	30.5	35.1	32.8
Location-3465	50194	48.2	9.6	3.9	47.9	13.1
Location-3466	79497	32.7	42.0	48.4	13.4	39.7
Location-3467	31775	1.2	22.0	1.4	3.5	25.5
Location-3468	18840	4.9	28.1	14.8	40.5	42.2
Location-3469	32113	16.7	30.4	6.0	26.1	30.3
Location-347	97755	36.4	10.0	23.0	39.8	15.1
Location-3470	86366	42.2	12.7	21.1	40.8	1.1
Location-3471	15926	34.6	46.9	36.9	35.9	48.4
Location-3472	68815	40.0	13.3	38.4	28.2	45.0
Location-3473	43213	7.1	19.2	3.6	30.8	22.1
Location-3474	23178	22.8	24.0	16.7	25.3	17.5
Location-3475	97454	28.2	30.4	43.4	5.6	16.4
Location-3476	36343	29.4	10.3	48.7	15.5	25.1
Location-3477	50162	33.5	2.7	37.9	18.7	5.7
Location-3478	76730	24.8	12.9	22.9	27.3	1.4
Location-3479	48497	6.5	46.1	36.0	26.9	21.5
Location-348	26542	28.2	19.2	21.2	47.1	24.0
Location-3480	34870	1.8	45.8	13.9	19.6	32.4
Location-3481	94561	13.9	41.3	31.0	40.7	7.7
Location-3482	47155	35.5	24.4	19.5	2.9	10.6
Location-3483	86638	4.4	10.1	13.4	33.5	29.3
Location-3484	85071	12.8	42.8	33.4	20.3	9.7
Location-3485	93601	36.0	48.1	47.8	19.0	41.0
Location-3486	20557	19.6	22.0	42.2	20.5	26.1
Location-3487	13530	6.0	26.9	44.6	45.8	41.4
Location-3488	10299	40.7	25.0	2.0	21.7	32.4
Location-349	94953	41.3	32.2	5.2	16.6	33.9
Location-3490	92259	20.0	23.8	3.7	6.1	35.9
Location-3491	51707	41.7	5.0	35.3	47.5	25.5
Location-3492	19811	44.3	18.3	38.5	6.8	33.5
Location-3493	75212	23.6	36.9	36.0	39.6	24.9
Location-3494	26691	15.2	28.4	46.1	4.4	24.3
Location-3495	79391	19.4	15.3	8.1	15.6	10.5
Location-3497	85997	49.3	43.8	28.1	11.8	45.1
Location-3498	53717	7.8	12.2	17.8	22.7	25.9
Location-3499	20694	25.6	7.4	17.2	29.1	24.9
Location-35	62256	28.3	19.3	25.7	44.6	46.0
Location-350	23990	41.8	35.5	26.9	22.7	3.4
Location-3500	46135	9.6	39.7	13.5	6.0	45.2
Location-3501	64494	48.3	38.1	38.9	27.6	28.1
Location-3502	23528	21.4	31.5	16.3	11.1	39.1
Location-3503	56030	48.5	24.3	16.8	34.0	38.2
Location-3504	90182	45.4	34.4	15.2	29.6	21.7
Location-3505	85702	40.7	5.4	6.6	9.2	27.6
Location-3506	49203	48.5	33.0	39.4	1.8	38.0
Location-3507	78075	9.7	19.4	40.5	32.4	36.5
Location-3508	28024	32.3	27.8	43.7	32.8	27.1
Location-3509	12852	23.6	1.8	35.5	43.2	45.1
Location-351	63783	49.5	21.9	35.3	17.2	12.1
Location-3510	56554	5.8	30.2	27.2	38.1	23.0
Location-3512	18863	17.6	32.7	7.6	33.9	2.8
Location-3513	73520	47.8	16.6	12.2	42.4	37.9
Location-3514	70487	37.3	18.8	44.9	28.0	20.7
Location-3515	84620	26.0	35.8	43.4	41.5	45.9
Location-3516	91136	20.6	49.1	31.1	20.0	45.3
Location-3517	73780	3.4	33.6	31.7	12.6	46.2
Location-3518	38219	10.7	10.8	14.1	15.1	12.7
Location-3519	20033	20.8	47.7	32.3	20.4	47.2
Location-352	54292	19.4	22.8	24.8	40.9	13.7
Location-3520	40495	1.8	42.3	15.2	39.6	17.0
Location-3521	13785	2.0	27.5	17.2	27.6	13.7
Location-3522	21688	9.3	20.4	27.5	42.5	32.4
Location-3523	15431	39.1	14.9	7.7	26.7	16.5
Location-3524	76398	37.5	17.5	8.0	3.4	4.5
Location-3526	45302	23.5	21.3	16.6	28.5	22.3
Location-3527	89275	2.5	36.4	19.7	45.7	39.5
Location-3529	60273	38.8	14.1	28.3	10.1	4.5
Location-353	72337	15.6	3.1	22.0	31.0	27.1
Location-3530	64087	23.2	4.0	2.2	2.8	45.6
Location-3531	38307	46.4	37.1	1.6	41.1	24.2
Location-3532	68304	7.2	28.2	34.1	12.4	28.2
Location-3533	71683	39.4	7.6	8.4	41.1	37.5
Location-3534	92080	48.4	16.0	22.7	45.9	3.7
Location-3535	91394	40.4	46.0	23.8	7.6	42.6
Location-3536	52777	27.1	27.8	48.1	18.1	37.4
Location-3537	53728	36.5	40.1	28.8	34.8	22.6
Location-3538	91798	8.8	28.7	38.9	12.4	41.2
Location-3539	36938	6.0	12.0	16.7	12.3	7.3
Location-354	61435	18.2	46.0	8.3	22.6	13.2
Location-3540	64924	48.6	11.4	29.1	43.2	40.1
Location-3541	36300	46.2	46.3	47.6	39.1	22.1
Location-3542	55948	45.3	8.8	34.0	48.9	34.5
Location-3543	75764	8.0	36.7	31.4	37.4	28.4
Location-3544	68762	31.3	24.0	13.2	43.1	9.7
Location-3545	96282	41.9	15.6	42.5	32.9	38.1
Location-3546	61183	10.5	47.2	33.8	2.7	10.0
Location-3547	49005	3.9	46.6	20.9	5.1	46.8
Location-3548	13825	14.7	29.2	8.5	22.6	25.6
Location-3549	80602	47.4	26.9	27.4	25.4	30.1
Location-355	56372	28.8	22.7	44.3	11.2	33.8
Location-3550	58663	15.0	36.6	15.3	26.1	18.2
Location-3551	25910	17.4	24.0	25.6	41.7	32.3
Location-3552	66122	11.2	12.6	22.4	33.7	34.3
Location-3553	22366	38.8	13.0	6.5	26.6	28.6
Location-3554	24714	23.9	49.6	36.9	9.3	15.0
Location-3555	23252	16.0	31.8	13.4	10.3	33.6
Location-3556	39732	30.2	1.8	35.2	39.5	23.9
Location-3557	38125	48.1	38.8	49.4	3.3	34.8
Location-3558	64809	32.0	44.8	17.4	27.5	12.6
Location-3559	86700	28.8	23.7	28.9	37.2	38.1
Location-356	44798	41.1	8.0	36.2	44.3	14.5
Location-3560	44486	25.0	13.8	20.6	10.6	35.3
Location-3561	47680	47.1	33.7	12.5	1.3	47.6
Location-3562	21426	26.7	8.6	23.2	8.5	14.5
Location-3563	60087	49.8	9.6	45.8	4.9	21.2
Location-3564	96907	26.5	22.4	12.9	38.2	48.8
Location-3565	25457	6.4	6.2	10.7	40.5	16.9
Location-3566	43803	30.8	14.3	34.3	28.4	15.5
Location-3567	10203	11.3	6.2	11.6	48.0	44.4
Location-3568	84212	35.1	20.6	28.5	46.4	32.7
Location-3569	83884	35.4	20.6	26.5	17.4	21.2
Location-357	34306	3.0	46.9	23.2	39.8	2.6
Location-3570	44878	9.5	48.5	19.4	21.3	16.0
Location-3571	85926	11.9	17.2	2.5	45.4	2.0
Location-3572	62899	18.9	31.4	36.7	36.4	47.3
Location-3574	53235	13.3	6.3	24.4	31.8	48.1
Location-3575	78884	29.0	34.5	21.2	30.0	16.4
Location-3576	61002	25.0	13.6	21.2	41.7	1.1
Location-3577	90873	14.1	28.7	11.4	48.9	25.2
Location-3578	78173	3.3	44.6	3.4	25.7	20.4
Location-3579	92901	39.3	25.4	1.7	33.4	5.5
Location-358	21304	17.4	11.5	48.6	38.3	29.3
Location-3580	49800	3.8	24.1	31.9	13.6	34.8
Location-3582	92625	8.8	39.8	44.5	18.7	35.8
Location-3583	64162	7.5	6.4	38.3	16.0	37.3
Location-3584	83247	8.9	28.4	26.9	1.5	2.8
Location-3585	14799	41.5	11.6	2.2	47.0	6.7
Location-3586	69131	15.4	30.9	28.1	19.6	38.8
Location-3587	77621	42.1	11.0	44.6	47.2	14.2
Location-3588	27674	24.9	39.8	33.8	46.9	47.4
Location-3589	76645	4.4	33.6	9.4	46.2	25.2
Location-359	21354	41.9	23.4	45.3	3.5	39.0
Location-3590	94845	14.7	10.7	36.5	18.4	45.6
Location-3591	45684	14.2	24.0	46.2	24.0	24.8
Location-3592	94371	26.1	2.2	1.8	29.0	40.5
Location-3593	89733	5.6	21.9	47.1	43.7	30.8
Location-3594	21719	9.0	34.4	46.1	42.3	8.4
Location-3595	66842	19.7	13.9	47.5	37.0	38.7
Location-3596	79155	25.7	2.4	22.5	16.1	2.8
Location-3597	92267	15.2	26.7	11.4	36.1	13.1
Location-3598	11458	24.5	26.1	38.6	28.6	15.7
Location-3599	97643	40.2	35.7	12.5	48.3	42.6
Location-36	22601	29.5	43.8	48.5	32.6	49.1
Location-360	41502	48.8	32.2	10.7	33.3	45.2
Location-3600	59127	1.4	36.2	8.1	11.2	48.8
Location-3602	74313	14.3	38.2	12.9	13.9	41.8
Location-3603	27281	31.6	14.4	8.3	19.3	6.7
Location-3604	74116	18.8	43.4	1.3	32.0	46.7
Location-3605	12438	43.7	33.4	30.3	49.3	40.5
Location-3606	33094	33.4	17.4	28.8	31.8	26.1
Location-3607	45368	34.9	46.2	34.3	31.6	46.9
Location-3608	35942	5.8	35.1	48.5	4.9	18.5
Location-3609	71266	37.0	21.6	17.6	21.9	35.6
Location-361	28262	49.2	1.2	30.3	26.1	37.5
Location-3610	22608	24.1	26.0	16.0	27.2	26.5
Location-3611	57732	18.4	5.8	15.7	45.7	15.9
Location-3612	75045	44.5	11.5	13.2	18.0	26.7
Location-3613	89135	5.5	11.5	3.2	42.4	22.8
Location-3614	94417	35.5	45.4	2.0	18.3	49.3
Location-3615	20606	43.8	44.6	25.1	43.5	16.2
Location-3616	22739	24.8	37.8	19.1	43.9	32.4
Location-3617	85383	38.8	23.0	14.3	20.7	29.4
Location-3618	57344	26.1	37.7	8.0	16.1	32.7
Location-3619	95923	44.6	37.0	49.4	9.5	6.2
Location-362	85443	14.0	20.1	23.0	31.7	49.5
Location-3620	20196	15.5	15.1	29.8	19.1	20.8
Location-3621	65207	6.0	22.2	5.1	49.2	29.3
Location-3622	18237	30.1	44.7	18.6	48.4	3.1
Location-3623	10966	12.2	49.4	12.2	22.9	13.6
Location-3624	79116	7.6	39.1	16.3	24.5	41.2
Location-3625	93312	21.9	8.8	12.1	36.2	31.7
Location-3626	81192	3.2	45.2	16.5	34.9	42.3
Location-3627	57165	9.6	3.6	41.7	41.3	17.8
Location-3628	45330	23.9	34.2	14.1	5.2	6.4
Location-3629	46743	6.6	11.5	24.8	2.3	31.2
Location-363	92332	46.0	21.6	44.9	4.3	21.9
Location-3630	41936	22.7	9.9	6.7	49.0	38.2
Location-3631	34709	34.4	25.8	35.1	3.9	20.6
Location-3632	44568	28.5	46.2	6.0	42.9	24.2
Location-3633	32041	32.4	41.7	13.8	14.9	10.5
Location-3635	14420	2.8	30.8	39.1	47.5	18.8
Location-3636	96695	8.3	6.0	26.4	31.9	28.5
Location-3637	83079	26.3	3.5	8.0	11.6	9.8
Location-3638	59191	10.4	19.1	12.1	10.2	21.1
Location-3639	51537	8.4	27.1	17.9	30.6	32.1
Location-364	15896	42.3	1.5	21.6	37.9	32.4
Location-3641	22815	9.6	43.4	9.7	35.5	11.5
Location-3642	17706	5.9	25.4	41.0	16.2	4.4
Location-3643	86752	32.3	4.9	13.9	31.7	30.5
Location-3644	40353	40.6	6.8	17.5	44.0	17.9
Location-3645	40953	36.4	32.0	14.1	30.4	48.4
Location-3646	93337	3.3	5.4	19.8	7.1	31.2
Location-3647	34008	19.1	35.2	32.2	25.4	19.5
Location-3648	29099	3.9	9.1	4.9	4.1	19.7
Location-3649	39795	8.3	28.3	5.9	32.3	35.4
Location-365	32509	33.2	7.9	21.1	15.3	31.4
Location-3650	39006	37.3	32.1	13.1	11.1	39.1
Location-3651	52295	24.5	18.6	27.0	12.5	48.8
Location-3652	90454	25.7	2.9	11.2	48.6	46.8
Location-3653	23927	40.2	45.1	32.2	24.9	7.8
Location-3654	94013	15.0	47.6	42.1	4.8	23.2
Location-3655	63430	24.3	15.2	43.2	27.6	30.2
Location-3656	95661	33.7	33.7	18.7	32.5	18.1
Location-3657	63833	24.3	42.9	46.8	43.7	17.6
Location-3658	95635	12.7	4.4	23.7	11.4	12.3
Location-3659	65013	6.9	38.0	25.2	14.2	34.8
Location-366	62893	26.7	44.5	18.9	22.4	46.4
Location-3660	43619	41.1	25.0	12.2	42.1	29.7
Location-3661	77515	4.8	41.1	18.6	33.0	24.8
Location-3662	36236	11.5	34.0	28.5	9.1	16.2
Location-3663	28402	17.6	8.5	43.6	34.4	4.5
Location-3664	67923	1.0	26.8	48.6	45.3	3.1
Location-3665	44109	11.8	3.1	48.9	38.2	2.6
Location-3666	80051	31.2	7.2	14.8	38.2	32.1
Location-3667	41183	6.5	33.4	19.2	29.3	32.7
Location-3669	82695	32.8	28.8	31.1	6.1	38.4
Location-367	19231	39.1	15.2	34.0	41.8	17.1
Location-3670	69301	31.1	47.0	13.1	47.5	6.0
Location-3671	63638	6.1	10.9	30.1	32.3	1.3
Location-3672	35801	31.6	38.1	26.8	47.5	27.4
Location-3673	16806	30.2	13.3	16.3	12.1	46.0
Location-3674	69639	6.1	43.7	3.1	39.4	39.3
Location-3675	33582	9.7	23.8	25.2	16.9	5.0
Location-3676	50379	16.8	47.9	49.8	7.0	49.8
Location-3677	15818	9.6	32.2	17.3	10.7	1.3
Location-3678	85069	6.4	37.1	20.7	41.4	12.6
Location-3679	30289	20.0	26.1	35.4	34.0	11.1
Location-368	67657	42.7	38.2	33.6	30.8	15.0
Location-3680	40289	16.0	29.6	29.3	38.4	22.1
Location-3681	66528	23.4	20.2	15.5	37.0	11.6
Location-3682	82704	16.7	36.6	16.3	17.1	15.5
Location-3683	60430	41.6	2.7	15.1	11.7	40.2
Location-3684	15190	5.3	7.9	14.2	29.4	48.4
Location-3685	56744	2.7	15.7	49.8	26.8	14.4
Location-3686	36109	47.5	16.1	48.4	34.8	26.5
Location-3687	71346	49.5	2.0	31.7	31.3	48.7
Location-3688	61907	7.3	2.2	2.3	12.8	19.3
Location-3689	51159	23.9	21.8	13.3	41.8	49.8
Location-369	90681	46.9	2.7	48.0	22.4	35.0
Location-3690	83909	37.7	37.1	45.8	2.5	38.3
Location-3691	86119	14.6	35.2	7.0	16.0	49.5
Location-3692	12652	23.8	5.0	33.5	11.5	24.9
Location-3693	49189	13.1	13.4	34.9	8.9	17.9
Location-3694	32535	3.1	43.0	28.1	1.7	42.0
Location-3695	85401	25.2	18.9	8.9	28.4	26.9
Location-3696	82565	50.0	29.4	22.3	39.8	23.4
Location-3697	23467	31.6	27.4	37.6	27.4	21.3
Location-3698	73091	2.8	36.0	10.5	47.5	25.3
Location-3699	74936	34.1	29.7	8.2	37.0	45.1
Location-37	39238	11.7	18.5	33.4	35.1	7.5
Location-370	54400	13.5	38.1	27.9	46.2	49.0
Location-3700	14822	17.3	8.5	42.3	4.0	35.1
Location-3701	15211	20.7	40.6	3.8	36.9	38.9
Location-3702	98851	31.0	42.9	12.4	17.4	46.1
Location-3703	94537	29.0	49.8	16.7	35.8	15.8
Location-3704	84409	22.8	14.5	41.0	38.4	49.1
Location-3705	41900	18.5	26.7	42.7	14.6	20.6
Location-3706	30104	16.3	10.3	42.5	42.0	2.3
Location-3707	92110	42.5	22.7	7.3	37.2	47.7
Location-3708	94678	15.8	28.0	38.2	29.8	47.8
Location-3709	93029	6.6	18.0	16.6	37.0	4.2
Location-371	21409	29.9	42.0	23.6	35.6	20.9
Location-3710	59206	2.1	30.4	2.0	41.6	6.8
Location-3711	97975	21.4	11.7	4.6	11.8	23.6
Location-3712	95054	2.3	28.1	3.5	40.4	15.6
Location-3713	14977	14.9	35.4	14.0	23.7	28.9
Location-3714	86570	39.1	14.7	32.6	46.0	23.4
Location-3715	35253	23.2	27.1	25.8	40.2	1.1
Location-3716	55547	35.3	34.9	31.6	34.1	1.2
Location-3717	58685	5.4	26.2	37.9	10.1	31.7
Location-3718	51767	25.0	16.6	35.6	1.8	27.9
Location-3719	49104	43.2	3.1	8.2	18.0	28.2
Location-372	81033	13.1	8.4	49.3	15.6	19.6
Location-3720	61051	5.7	5.9	11.4	42.5	24.5
Location-3721	76347	2.1	35.0	19.2	15.6	5.4
Location-3722	57942	10.0	38.0	48.1	41.1	46.3
Location-3723	96629	5.8	12.6	24.2	44.7	6.1
Location-3724	30189	23.4	41.0	35.3	31.4	3.0
Location-3725	58907	29.5	26.7	48.9	13.4	49.5
Location-3726	89059	33.2	34.6	28.8	12.9	5.4
Location-3727	28013	37.6	23.4	45.8	43.2	29.7
Location-3728	40970	15.9	5.2	34.8	35.6	32.1
Location-3729	13151	12.7	11.2	8.6	48.9	45.1
Location-373	41081	23.7	43.8	16.3	41.9	41.7
Location-3730	33158	22.9	35.4	7.6	35.6	31.2
Location-3731	69603	34.9	41.1	12.2	24.7	40.0
Location-3732	34980	25.9	7.6	20.3	22.3	44.3
Location-3733	23553	18.8	36.6	37.2	32.4	34.9
Location-3734	56501	17.3	44.9	41.8	20.2	15.0
Location-3735	42839	41.9	13.6	28.8	44.4	24.2
Location-3736	17490	35.6	29.3	12.4	46.9	17.0
Location-3737	92530	43.6	6.9	34.3	3.1	16.1
Location-3738	26295	26.1	44.2	3.7	11.4	15.3
Location-374	77946	28.7	11.5	19.8	46.4	3.4
Location-3740	81657	2.8	24.5	46.4	12.7	28.4
Location-3741	62085	33.3	26.4	14.6	17.1	39.3
Location-3742	34885	46.9	10.7	37.8	37.4	33.0
Location-3743	51970	17.8	2.5	38.2	20.1	35.9
Location-3744	58691	43.1	4.1	33.9	41.1	41.7
Location-3745	69202	47.6	37.2	8.8	28.6	35.6
Location-3746	77757	45.6	27.8	41.7	22.5	43.9
Location-3747	38481	35.8	25.9	47.8	32.9	7.6
Location-3748	62971	48.8	45.1	32.7	44.4	46.5
Location-3749	65358	20.9	21.2	17.1	11.2	33.7
Location-375	69167	31.6	15.0	21.9	4.9	36.6
Location-3750	92037	13.3	17.3	7.0	39.6	43.6
Location-3751	50220	13.5	3.1	9.6	12.7	36.7
Location-3752	93042	3.2	36.7	28.9	38.4	17.4
Location-3753	52923	15.6	15.7	19.6	6.9	4.2
Location-3754	28552	19.7	35.5	28.3	1.5	39.1
Location-3755	96463	37.5	5.4	17.2	21.4	10.6
Location-3756	81247	10.3	44.7	19.1	45.1	40.6
Location-3757	82758	12.8	40.0	28.9	22.0	12.6
Location-3758	38678	21.2	42.3	20.3	14.2	45.6
Location-3759	20283	38.7	27.1	27.6	13.5	48.2
Location-376	30863	35.8	46.9	4.6	46.5	37.7
Location-3760	20578	34.7	13.6	12.8	41.4	36.7
Location-3761	69481	37.8	28.0	27.6	45.0	34.7
Location-3762	71181	20.5	10.7	7.7	46.2	12.7
Location-3763	91912	37.8	33.3	8.5	37.9	17.2
Location-3765	84551	6.4	14.1	32.1	23.8	33.5
Location-3766	99055	26.3	20.0	16.2	48.6	19.6
Location-3767	48146	6.5	25.2	26.7	14.8	19.0
Location-3768	57681	39.2	20.9	41.4	18.2	7.3
Location-3769	75004	41.8	13.9	17.1	6.5	37.2
Location-377	47526	7.3	42.4	37.6	12.7	27.6
Location-3770	16178	19.3	16.7	3.8	46.8	19.1
Location-3771	39719	27.0	22.8	17.9	5.3	46.6
Location-3772	86623	47.7	45.2	16.8	23.4	25.5
Location-3773	18082	9.7	25.9	4.5	15.1	48.2
Location-3774	44629	33.7	48.8	5.0	44.2	18.4
Location-3775	42640	43.8	36.3	44.6	23.8	12.4
Location-3776	42225	36.7	3.7	12.3	24.4	44.2
Location-3777	94638	11.0	2.4	17.7	3.3	33.4
Location-3778	46486	34.8	18.4	2.1	24.8	49.7
Location-3779	88241	36.6	24.9	1.5	6.9	42.3
Location-378	59602	36.7	42.6	7.2	37.0	4.3
Location-3780	42720	2.7	23.0	31.8	45.2	12.1
Location-3781	65007	11.1	18.4	29.9	19.9	43.3
Location-3782	23303	11.5	31.5	27.9	1.8	39.6
Location-3783	13407	7.2	32.4	17.7	44.8	1.5
Location-3784	70925	14.2	30.6	10.1	15.8	14.5
Location-3785	33147	49.5	44.7	28.1	8.8	14.3
Location-3786	83309	48.5	23.6	23.7	48.4	9.3
Location-3787	81504	5.2	44.7	14.2	37.5	46.2
Location-3788	82705	16.1	35.5	23.7	22.8	16.9
Location-3789	74918	22.0	26.0	7.3	13.7	29.8
Location-379	34408	28.5	42.1	24.7	41.0	42.1
Location-3790	69002	31.6	1.7	24.6	23.2	3.0
Location-3791	60529	35.4	42.4	44.9	6.6	1.7
Location-3792	78017	34.2	37.2	27.4	30.8	4.7
Location-3794	95960	34.3	7.0	23.8	29.4	34.9
Location-3795	94425	13.6	16.0	25.7	45.8	26.0
Location-3796	98054	42.5	16.1	42.6	3.5	6.9
Location-3797	93454	6.4	7.1	30.3	42.9	23.1
Location-3798	92780	19.0	43.7	21.9	41.6	18.1
Location-3799	95698	8.0	20.8	23.0	20.7	47.3
Location-38	56680	31.8	7.6	12.2	39.2	20.6
Location-380	51077	11.6	31.4	2.8	44.2	30.1
Location-3800	67072	25.7	8.4	7.8	47.4	34.6
Location-3801	51737	29.7	16.9	19.0	16.9	11.2
Location-3802	39433	14.8	27.9	32.6	12.9	43.6
Location-3803	91149	48.5	27.9	33.1	16.2	14.2
Location-3804	25246	24.4	23.7	39.7	24.3	7.1
Location-3805	79613	44.8	25.7	19.5	45.1	46.7
Location-3806	23522	38.6	45.4	7.3	31.1	46.9
Location-3807	42983	28.3	6.8	32.6	26.0	16.3
Location-3808	40279	11.8	48.6	27.9	33.1	34.2
Location-3809	53176	15.4	49.6	13.9	32.7	36.9
Location-381	96565	37.2	6.3	5.1	31.5	10.6
Location-3810	14760	5.7	8.9	8.4	20.0	29.2
Location-3811	65065	13.7	33.8	37.1	34.9	37.0
Location-3812	48070	26.1	19.1	15.3	31.9	41.9
Location-3813	61397	27.5	43.6	9.2	16.3	22.9
Location-3814	36681	11.2	23.6	31.8	18.5	35.9
Location-3815	83983	21.6	17.5	28.6	26.7	9.2
Location-3816	97455	43.7	29.0	36.1	46.4	18.8
Location-3817	63725	9.5	22.5	48.2	14.6	26.8
Location-3818	56898	29.9	2.6	38.3	37.3	42.6
Location-3819	93998	15.2	3.8	33.1	43.2	1.1
Location-382	93741	18.0	44.3	23.7	45.8	47.1
Location-3820	33747	29.0	40.6	12.5	47.5	21.5
Location-3821	67760	38.2	30.7	42.2	45.8	10.1
Location-3822	28345	20.8	28.1	23.5	32.3	40.0
Location-3823	13276	11.6	15.3	21.7	12.2	36.4
Location-3824	41990	7.4	36.5	45.0	30.2	24.6
Location-3825	89977	5.7	29.2	28.0	24.4	19.9
Location-3826	90008	1.1	14.0	41.7	33.9	48.1
Location-3828	40803	19.9	13.9	35.9	20.9	40.4
Location-3829	14385	16.6	16.0	20.0	4.1	36.9
Location-383	50867	40.9	43.9	8.5	8.0	43.3
Location-3830	70907	10.1	13.7	1.4	4.3	38.0
Location-3831	49370	7.7	12.2	25.9	5.7	49.8
Location-3832	24529	15.9	2.1	41.5	43.3	15.7
Location-3833	54493	22.6	2.2	17.2	23.1	10.9
Location-3834	11481	1.7	19.5	29.1	16.1	14.0
Location-3835	42256	42.4	34.9	3.2	38.8	30.5
Location-3836	59014	25.4	16.4	31.1	42.5	4.6
Location-3837	61533	27.6	37.0	29.2	4.1	40.2
Location-3838	89618	43.7	9.0	26.1	35.1	20.5
Location-3839	79585	23.9	34.5	25.2	10.6	39.7
Location-384	20268	19.8	48.1	47.5	8.7	16.2
Location-3840	37200	5.7	44.6	34.9	15.3	28.0
Location-3841	54459	41.1	20.1	25.8	32.8	13.1
Location-3842	57591	1.3	4.7	8.7	9.5	17.0
Location-3843	88580	10.6	47.3	2.9	49.0	49.1
Location-3844	56375	21.9	42.3	10.6	44.8	34.3
Location-3845	86022	3.4	14.1	3.2	44.3	14.6
Location-3847	21952	16.5	7.6	32.3	44.1	43.6
Location-3848	62071	36.4	12.9	35.6	21.4	26.8
Location-3849	35147	11.0	14.9	6.7	47.8	39.6
Location-385	83976	2.6	24.8	41.8	42.8	36.1
Location-3850	16653	35.6	19.4	17.6	38.9	15.2
Location-3851	93179	31.0	38.7	24.0	26.7	46.6
Location-3852	49155	25.5	38.1	33.8	49.4	34.1
Location-3853	50918	42.4	37.6	20.4	11.8	18.1
Location-3854	56063	39.2	18.5	47.5	6.3	49.3
Location-3855	87434	5.3	27.4	45.0	31.2	16.1
Location-3856	13772	17.6	48.0	10.6	4.8	7.4
Location-3858	87514	45.9	38.1	46.6	13.2	8.6
Location-3859	45057	17.6	45.1	6.1	44.2	22.3
Location-386	16386	7.0	12.5	41.0	31.4	20.6
Location-3860	29486	36.7	31.8	18.4	31.9	29.5
Location-3861	66829	34.2	34.2	17.6	10.5	37.3
Location-3862	83074	2.9	17.5	29.0	21.5	16.3
Location-3863	79538	19.0	44.6	39.9	28.4	49.6
Location-3864	50238	19.0	31.6	25.2	5.4	14.3
Location-3865	63123	33.5	17.6	16.0	34.1	28.3
Location-3866	47240	19.9	10.9	44.6	28.2	44.4
Location-3867	18670	9.1	13.6	36.1	41.8	35.8
Location-3868	82010	6.8	40.1	34.7	2.2	33.7
Location-3869	65080	2.7	21.3	43.3	9.9	18.7
Location-387	19695	11.3	27.1	26.1	12.7	27.6
Location-3870	99103	33.7	29.2	2.5	4.8	16.0
Location-3871	41617	13.0	2.0	44.1	15.0	5.7
Location-3872	41258	28.2	17.1	31.7	27.3	21.8
Location-3873	94160	17.3	37.7	48.4	20.3	17.2
Location-3874	37696	17.2	5.1	21.1	9.4	29.4
Location-3875	17138	47.9	7.9	7.4	13.3	24.2
Location-3876	34061	30.7	44.8	14.4	31.5	38.4
Location-3877	26501	23.9	33.2	35.6	33.7	43.0
Location-3878	25621	42.6	33.2	7.8	22.6	38.2
Location-3879	14735	21.0	39.1	43.4	32.7	6.9
Location-388	39090	27.7	31.3	31.8	37.8	29.9
Location-3880	17164	30.3	45.3	28.7	37.6	48.9
Location-3881	30379	34.5	17.7	30.7	10.1	30.1
Location-3882	17225	23.9	1.4	47.8	27.8	5.0
Location-3883	65362	22.7	28.2	48.2	21.6	7.0
Location-3884	51426	47.1	15.2	31.4	22.0	26.5
Location-3885	18064	48.7	29.7	14.7	32.5	34.1
Location-3886	36255	17.7	9.1	19.5	15.6	30.2
Location-3887	51540	11.5	42.0	22.5	22.2	41.3
Location-3888	76189	22.9	16.5	44.5	27.7	4.3
Location-3889	87463	25.5	5.1	14.4	1.1	9.5
Location-389	94021	29.5	24.4	9.3	14.8	19.8
Location-3890	80722	49.8	14.4	3.7	19.6	35.2
Location-3891	42374	7.9	43.6	13.2	12.4	13.8
Location-3892	16490	14.2	40.7	45.2	27.0	23.4
Location-3893	49788	11.8	41.3	37.1	9.7	11.1
Location-3894	36305	4.0	46.8	32.0	8.8	32.4
Location-3895	89653	17.4	25.3	47.2	2.3	22.4
Location-3896	13685	22.6	5.2	16.9	29.9	35.7
Location-3897	78440	8.6	14.3	19.2	30.0	15.2
Location-3898	75661	45.8	9.0	21.5	47.3	22.0
Location-3899	76236	1.1	17.2	9.0	6.0	42.5
Location-39	24132	9.4	7.8	27.5	33.8	35.8
Location-390	84489	19.3	39.4	31.0	47.8	49.5
